sampletype	sample	r1	r2
parents	QG2082	/scratch/lmn3/becei/dtail/becei/QG2082.R1.fx.fq.gz	/scratch/lmn3/becei/dtail/becei/QG2082.R2.fx.fq.gz
parents	QG2083	/scratch/lmn3/becei/QG2083.R1.fx.fq.gz	/scratch/lmn3/becei/QG2083.R1.fx.fq.gz
parents	QG2083_mp	/scratch/lmn3/becei/dtail/becei/QG2083.vclean.mp.R1.fastq.gz	/scratch/lmn3/becei/dtail/becei/QG2083.vclean.mp.R2.fastq.gz
rils	B1_90	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_90_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_90_R.fq.gz
rils	B1_43	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_43_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_43_R.fq.gz
rils	B2_36	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_36_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_36_R.fq.gz
rils	B2_10	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_10_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_10_R.fq.gz
rils	B1_110	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_110_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_110_R.fq.gz
rils	B2_37	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_37_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_37_R.fq.gz
rils	B1_72	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_72_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_72_R.fq.gz
rils	B1_128	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_128_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_128_R.fq.gz
rils	B1_19	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_19_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_19_R.fq.gz
rils	B1_124	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_124_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_124_R.fq.gz
rils	B1_106	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_106_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_106_R.fq.gz
rils	B2_28	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_28_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_28_R.fq.gz
rils	B1_114	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_114_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_114_R.fq.gz
rils	B1_71	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_71_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_71_R.fq.gz
rils	B2_26	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_26_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_26_R.fq.gz
rils	B2_12	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_12_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_12_R.fq.gz
rils	B1_66	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_66_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_66_R.fq.gz
rils	B1_1	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_1_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_1_R.fq.gz
rils	B1_6	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_6_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_6_R.fq.gz
rils	B1_33	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_33_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_33_R.fq.gz
rils	B2_27	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_27_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_27_R.fq.gz
rils	B2_11	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_11_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_11_R.fq.gz
rils	B1_80	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_80_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_80_R.fq.gz
rils	B1_127	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_127_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_127_R.fq.gz
rils	B1_28	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_28_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_28_R.fq.gz
rils	B1_51	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_51_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_51_R.fq.gz
rils	B1_105	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_105_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_105_R.fq.gz
rils	B2_24	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_24_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_24_R.fq.gz
rils	B1_77	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_77_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_77_R.fq.gz
rils	B1_42	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_42_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_42_R.fq.gz
rils	B1_38	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_38_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_38_R.fq.gz
rils	B1_11	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_11_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_11_R.fq.gz
rils	B2_16	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_16_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_16_R.fq.gz
rils	B1_45	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_45_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_45_R.fq.gz
rils	B1_68	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_68_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_68_R.fq.gz
rils	B1_46	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_46_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_46_R.fq.gz
rils	B2_38	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_38_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_38_R.fq.gz
rils	B2_23	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_23_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_23_R.fq.gz
rils	B2_15	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_15_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_15_R.fq.gz
rils	B1_145	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_145_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_145_R.fq.gz
rils	B1_17	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_17_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_17_R.fq.gz
rils	B1_25	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_25_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_25_R.fq.gz
rils	B1_78	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_78_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_78_R.fq.gz
rils	B1_24	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_24_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_24_R.fq.gz
rils	B1_138	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_138_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_138_R.fq.gz
rils	B1_148	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_148_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_148_R.fq.gz
rils	B1_54	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_54_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_54_R.fq.gz
rils	B1_79	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_79_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_79_R.fq.gz
rils	B1_49	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_49_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_49_R.fq.gz
rils	B1_160	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_160_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_160_R.fq.gz
rils	B1_159	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_159_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_159_R.fq.gz
rils	B1_147	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_147_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_147_R.fq.gz
rils	B2_4	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_4_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_4_R.fq.gz
rils	B2_22	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_22_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_22_R.fq.gz
rils	B1_2	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_2_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_2_R.fq.gz
rils	B1_88	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_88_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_88_R.fq.gz
rils	B1_18	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_18_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_18_R.fq.gz
rils	B2_40	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_40_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_40_R.fq.gz
rils	B1_84	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_84_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_84_R.fq.gz
rils	B1_133	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_133_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_133_R.fq.gz
rils	B1_103	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_103_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_103_R.fq.gz
rils	B1_96	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_96_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_96_R.fq.gz
rils	B1_119	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_119_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_119_R.fq.gz
rils	B1_97	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_97_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_97_R.fq.gz
rils	B1_107	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_107_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_107_R.fq.gz
rils	B1_151	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_151_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_151_R.fq.gz
rils	B1_75	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_75_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_75_R.fq.gz
rils	B1_108	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_108_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_108_R.fq.gz
rils	B2_30	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_30_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_30_R.fq.gz
rils	B1_154	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_154_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_154_R.fq.gz
rils	B1_21	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_21_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_21_R.fq.gz
rils	B2_20	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_20_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_20_R.fq.gz
rils	B1_20	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_20_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_20_R.fq.gz
rils	B1_67	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_67_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_67_R.fq.gz
rils	B1_3	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_3_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_3_R.fq.gz
rils	B1_55	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_55_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_55_R.fq.gz
rils	B2_32	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_32_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_32_R.fq.gz
rils	B1_35	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_35_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_35_R.fq.gz
rils	B1_23	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_23_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_23_R.fq.gz
rils	B1_98	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_98_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_98_R.fq.gz
rils	B2_35	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_35_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_35_R.fq.gz
rils	B1_109	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_109_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_109_R.fq.gz
rils	B1_95	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_95_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_95_R.fq.gz
rils	B2_8	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_8_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_8_R.fq.gz
rils	B2_31	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_31_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_31_R.fq.gz
rils	B1_156	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_156_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_156_R.fq.gz
rils	B2_29	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_29_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_29_R.fq.gz
rils	B1_81	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_81_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_81_R.fq.gz
rils	B1_132	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_132_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_132_R.fq.gz
rils	B1_40	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_40_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_40_R.fq.gz
rils	B1_142	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_142_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_142_R.fq.gz
rils	B1_27	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_27_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_27_R.fq.gz
rils	B1_86	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_86_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_86_R.fq.gz
rils	B1_34	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_34_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_34_R.fq.gz
rils	B2_39	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_39_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_39_R.fq.gz
rils	B1_126	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_126_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_126_R.fq.gz
rils	B1_87	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_87_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_87_R.fq.gz
rils	B1_76	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_76_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_76_R.fq.gz
rils	B1_123	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_123_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_123_R.fq.gz
rils	B1_70	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_70_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_70_R.fq.gz
rils	B1_121	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_121_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_121_R.fq.gz
rils	B2_34	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_34_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_34_R.fq.gz
rils	B1_10	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_10_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_10_R.fq.gz
rils	B1_102	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_102_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_102_R.fq.gz
rils	B1_39	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_39_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_39_R.fq.gz
rils	B1_111	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_111_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_111_R.fq.gz
rils	B1_134	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_134_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_134_R.fq.gz
rils	B1_48	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_48_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_48_R.fq.gz
rils	B1_135	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_135_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_135_R.fq.gz
rils	B1_64	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_64_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_64_R.fq.gz
rils	B1_74	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_74_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_74_R.fq.gz
rils	B1_146	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_146_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_146_R.fq.gz
rils	B2_2	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_2_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B2_2_R.fq.gz
rils	B1_118	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_118_F.fq.gz	/scratch/lmn3/becei/dtail/becei/gmap/fastq/B1_118_R.fq.gz
