ori,uno,ori_in,uno_in,uno_len,ori_len,lg,genetic
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0.314
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,1.47
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.035
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.603
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,3.171
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,3.74
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.308
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.876
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,5.444
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,6.013
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,6.581
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.149
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.717
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.286
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.854
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.422
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.99
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.559
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.127
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.695
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.263
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.831
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.4
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.968
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.536
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.104
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.673
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.241
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.81
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.32
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.886
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,18.982
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.548
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.116
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.684
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.252
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.821
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.389
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.957
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.525
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.094
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.662
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.23
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.798
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.367
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.935
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.503
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.071
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.64
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.208
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.776
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.344
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.912
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.481
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.049
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.617
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.185
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.751
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,34.906
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,35.472
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.04
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.608
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.176
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.745
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.313
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.881
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,40.034
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,40.59
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,47.147
