length,contig,seq
18895086,ptg000028l,Ctg001
10665761,ptg000037l,Ctg002
8873824,ptg000022l,Ctg003
8592421,ptg000030l,Ctg004
7619196,ptg000003l,Ctg005
6933954,ptg000038l,Ctg006
5647030,ptg000024l,Ctg007
4773269,ptg000006l,Ctg008
4698307,ptg000019c,Ctg009
3803472,ptg000040l,Ctg010
3577260,ptg000043l,Ctg011
3322896,ptg000009l,Ctg012
2655823,ptg000018l,Ctg013
2550403,ptg000062l,Ctg014
2263744,ptg000041l,Ctg015
2096835,ptg000012l,Ctg016
1603494,ptg000068l,Ctg017
1539158,ptg000035l,Ctg018
1360669,ptg000017l,Ctg019
496583,ptg000107l,Ctg020
489597,ptg000054l,Ctg021
300744,ptg000039l,Ctg022
286036,ptg000081l,Ctg023
271949,ptg000064l,Ctg024
255862,ptg000152l,Ctg025
231873,ptg000085l,Ctg026
179084,ptg000082l,Ctg027
150114,ptg000100l,Ctg028
144468,ptg000063l,Ctg029
143658,ptg000101l,Ctg030
141534,ptg000087l,Ctg031
131237,ptg000127l,Ctg032
129826,ptg000091l,Ctg033
123100,ptg000129l,Ctg034
97015,ptg000117l,Ctg035
95406,ptg000151l,Ctg036
91686,ptg000134l,Ctg037
88045,ptg000119l,Ctg038
79870,ptg000089l,Ctg039
74120,ptg000065l,Ctg040
69541,ptg000169l,Ctg041
56945,ptg000126l,Ctg042
54539,ptg000203l,Ctg043
52227,ptg000265l,Ctg044
50326,ptg000147l,Ctg045
