length,contig,seq
13112073,tig00002014,Ctg001
8554087,tig00000195,Ctg002
7905001,tig00002008,Ctg003
6195275,tig00002106,Ctg004
4963384,tig00000482,Ctg005
4447886,tig00000530,Ctg006
3983589,tig00000608,Ctg007
3574967,tig00002179,Ctg008
3278055,tig00000718,Ctg009
3235399,tig00000724,Ctg010
2672810,tig00000761,Ctg011
2218771,tig00000986,Ctg012
2179192,tig00000938,Ctg013
2097276,tig00000935,Ctg014
1865418,tig00001028,Ctg015
1798704,tig00001033,Ctg016
1606376,tig00001108,Ctg017
1600039,tig00001114,Ctg018
1577406,tig00000834,Ctg019
1565062,tig00002444,Ctg020
1534157,tig00001131,Ctg021
1497873,tig00001148,Ctg022
1425084,tig00002513,Ctg023
1399561,tig00000879,Ctg024
1387821,tig00000903,Ctg025
1382998,tig00001157,Ctg026
1357649,tig00002428,Ctg027
1355728,tig00002562,Ctg028
1201345,tig00001203,Ctg029
1128962,tig00002517,Ctg030
1106542,tig00002176,Ctg031
1009644,tig00002430,Ctg032
957873,tig00001283,Ctg033
898722,tig00001314,Ctg034
896182,tig00001290,Ctg035
863459,tig00001305,Ctg036
850369,tig00002627,Ctg037
826958,tig00001299,Ctg038
791018,tig00001342,Ctg039
753842,tig00001329,Ctg040
720337,tig00002641,Ctg041
690214,tig00002548,Ctg042
683774,tig00001363,Ctg043
676819,tig00001361,Ctg044
670107,tig00001210,Ctg045
654211,tig00001362,Ctg046
631611,tig00001373,Ctg047
612235,tig00001377,Ctg048
611825,tig00002441,Ctg049
603432,tig00002514,Ctg050
590948,tig00002493,Ctg051
568077,tig00001130,Ctg052
561895,tig00001389,Ctg053
545272,tig00001380,Ctg054
536945,tig00001415,Ctg055
520462,tig00001405,Ctg056
519172,tig00001407,Ctg057
509544,tig00001409,Ctg058
466859,tig00001410,Ctg059
448829,tig00001285,Ctg060
424984,tig00001427,Ctg061
416587,tig00002620,Ctg062
395024,tig00001422,Ctg063
389012,tig00002520,Ctg064
380564,tig00001418,Ctg065
366803,tig00001445,Ctg066
340560,tig00001440,Ctg067
321558,tig00001439,Ctg068
316726,tig00001289,Ctg069
301996,tig00001446,Ctg070
300613,tig00001459,Ctg071
296992,tig00001447,Ctg072
275734,tig00001456,Ctg073
270791,tig00001451,Ctg074
266944,tig00001454,Ctg075
252844,tig00001458,Ctg076
249479,tig00001469,Ctg077
235580,tig00001470,Ctg078
223509,tig00001465,Ctg079
222940,tig00002638,Ctg080
215693,tig00002500,Ctg081
176321,tig00001311,Ctg082
168975,tig00001460,Ctg083
168516,tig00001488,Ctg084
168219,tig00001474,Ctg085
167193,tig00001484,Ctg086
138282,tig00001487,Ctg087
123102,tig00001508,Ctg088
114563,tig00001499,Ctg089
105060,tig00001504,Ctg090
103049,tig00001539,Ctg091
93455,tig00001541,Ctg092
77493,tig00002643,Ctg093
74404,tig00001570,Ctg094
62860,tig00001534,Ctg095
58222,tig00001571,Ctg096
56830,tig00001557,Ctg097
56806,tig00001591,Ctg098
49966,tig00001604,Ctg099
47849,tig00001653,Ctg100
38831,tig00001669,Ctg101
35204,tig00002625,Ctg102
34657,tig00001657,Ctg103
34467,tig00001644,Ctg104
33382,tig00001676,Ctg105
32092,tig00002830,Ctg106
30090,tig00001675,Ctg107
29908,tig00001702,Ctg108
29649,tig00001720,Ctg109
29490,tig00002554,Ctg110
28318,tig00001721,Ctg111
27889,tig00001224,Ctg112
27075,tig00001747,Ctg113
26720,tig00001704,Ctg114
25963,tig00001748,Ctg115
23199,tig00002421,Ctg116
21097,tig00001750,Ctg117
20294,tig00001396,Ctg118
