scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg019,1,-,1360669,ptg000017l,0,11.205,1.253
Ctg004,1,-,8592421,ptg000030l,12.458,36.943,0
Ctg021,1,,489597,ptg000054l,36.943,36.943,0
Ctg008,1,+,4773269,ptg000006l,36.943,55.871,
Ctg002,2,+,10665761,ptg000037l,0,25.896,0
Ctg012,2,+,3322896,ptg000009l,25.896,51.822,
Ctg016,3,+,2096835,ptg000012l,0,47.759,-36.821
Ctg013,3,-,2655823,ptg000018l,10.938,28.172,19.587
Ctg003,3,+,8873824,ptg000022l,47.759,77.686,
Ctg018,4,+,1539158,ptg000035l,0,0,0
Ctg020,4,,496583,ptg000107l,0,0,0
Ctg015,4,+,2263744,ptg000041l,0,1.868,0
Ctg017,4,-,1603494,ptg000068l,1.868,4.337,0.617
Ctg001,4,+,18895086,ptg000028l,4.954,41.052,
Ctg031,5,,141534,ptg000087l,0,0,0
Ctg006,5,-,6933954,ptg000038l,0,17.129,0
Ctg007,5,-,5647030,ptg000024l,17.129,55.986,
Ctg011,6,+,3577260,ptg000043l,0,20.144,0
Ctg005,6,+,7619196,ptg000003l,20.144,28.803,0
Ctg014,6,-,2550403,ptg000062l,28.803,45.393,
