b	switch	start	end	contig
1	NA	2605	20274	Ctg001
51	0	20274	34759	Ctg001
101	0	34996	43838	Ctg001
151	0	43967	51613	Ctg001
201	0	51651	62321	Ctg001
251	0	62408	69575	Ctg001
301	0	69656	76426	Ctg001
351	0	76456	123242	Ctg001
401	0	123528	130402	Ctg001
451	0	130489	138640	Ctg001
501	0	138837	150615	Ctg001
551	0	150615	155839	Ctg001
601	0	155839	157807	Ctg001
651	0	157829	161033	Ctg001
701	0	161112	166642	Ctg001
751	0	166681	172784	Ctg001
801	0	173778	178134	Ctg001
851	0	178134	187158	Ctg001
901	0	187245	193367	Ctg001
951	0	193386	199702	Ctg001
1001	0	199768	202246	Ctg001
1051	0	202267	208422	Ctg001
1101	0	208454	213799	Ctg001
1151	0	213799	227391	Ctg001
1201	0	227530	232503	Ctg001
1251	0	232525	239559	Ctg001
1301	0	239646	244798	Ctg001
1351	0	245090	249509	Ctg001
1401	0	249678	251641	Ctg001
1451	0	251727	255928	Ctg001
1501	0	255944	263879	Ctg001
1551	0	263879	285926	Ctg001
1601	0	285926	297444	Ctg001
1651	0	297500	302824	Ctg001
1701	0	302824	312315	Ctg001
1751	0	312315	314743	Ctg001
1801	0	314743	321628	Ctg001
1851	0	321700	325532	Ctg001
1901	0	326020	345613	Ctg001
1951	0	345834	351584	Ctg001
2001	0	351599	358768	Ctg001
2051	0	358805	366616	Ctg001
2101	0	366757	373741	Ctg001
2151	0	373768	380502	Ctg001
2201	0	380642	387000	Ctg001
2251	0	387000	393415	Ctg001
2301	0	393539	403962	Ctg001
2351	0	403962	414380	Ctg001
2401	0	414380	417226	Ctg001
2451	0	417226	424574	Ctg001
2501	0	424574	430708	Ctg001
2551	0	430926	435851	Ctg001
2601	0	435940	442193	Ctg001
2651	0	442472	450630	Ctg001
2701	0	450824	459133	Ctg001
2751	0	459133	465031	Ctg001
2801	0	465073	473515	Ctg001
2851	0	473575	478707	Ctg001
2901	0	478707	483831	Ctg001
2951	0	483831	492001	Ctg001
3001	0	492070	499591	Ctg001
3051	0	499802	505595	Ctg001
3101	0	506010	509994	Ctg001
3151	0	511233	514996	Ctg001
3201	0	514996	518596	Ctg001
3251	0	518596	523337	Ctg001
3301	0	523337	525279	Ctg001
3351	0	525279	532944	Ctg001
3401	0	532944	540590	Ctg001
3451	1	540590	544940	Ctg001
3501	0	545050	551338	Ctg001
3551	1	551437	557917	Ctg001
3601	0	557917	563745	Ctg001
3651	0	563745	577737	Ctg001
3701	0	577957	583985	Ctg001
