scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg037,1,,14261,contig_67,0,0,3.121
Ctg027,1,-,311306,contig_185,3.121,3.121,0
Ctg034,1,,50037,contig_66,3.121,3.121,0
Ctg002,1,+,13584573,contig_68,3.121,56.834,
Ctg036,2,,19320,contig_194,0,0,31.544
Ctg017,2,+,2254436,contig_71,31.544,47.522,0
Ctg014,2,+,2756293,scaffold_8,47.522,50.681,0
Ctg007,2,-,6057687,contig_73,50.681,54.365,0
Ctg016,2,+,2643193,contig_70,54.365,74.973,0.524000000000001
Ctg020,2,+,1353321,contig_192,75.497,87.36,
Ctg003,3,+,12549184,contig_166,0,53.042,0
Ctg032,3,,138995,contig_190,53.042,53.042,
Ctg015,4,-,2660559,contig_2,0,16.661,0.520999999999997
Ctg018,4,-,2069089,contig_72,17.182,24.577,0
Ctg004,4,+,7882276,scaffold_77,24.577,50.537,0.521000000000001
Ctg023,4,+,938431,contig_36,51.058,57.747,
Ctg019,5,,1523805,contig_3,0,0.796,0
Ctg030,5,,149486,contig_97,0.796,0.796,0
Ctg022,5,-,1162810,contig_37,0.796,2.416,0
Ctg024,5,+,568090,contig_35,2.416,2.943,0
Ctg025,5,,533261,contig_236,2.943,2.943,0
Ctg031,5,,141792,contig_118,2.943,2.943,0
Ctg026,5,+,469119,contig_214,2.943,3.995,0
Ctg029,5,,208124,contig_128,3.995,4.522,0
Ctg028,5,+,309269,contig_120,4.522,5.048,0
Ctg011,5,-,3672090,contig_38,5.048,15.603,0
Ctg005,5,-,7878348,contig_210,15.603,22.457,0
Ctg033,5,,77467,contig_69,22.457,22.457,0.526
Ctg010,5,-,3926323,contig_84,22.983,34.447,0
Ctg012,5,+,3653874,contig_9,34.447,41.843,11.6
Ctg035,5,,22677,contig_110,53.443,53.443,
Ctg013,6,+,3569119,contig_213,0,18.616,0
Ctg006,6,-,6103439,contig_193,18.616,21.248,0
Ctg009,6,-,4040895,contig_211,21.248,46.544,
