ori,uno,ori_in,uno_in,uno_len,ori_len,lg,genetic
Ctg004,Ctg021,ptg000030l,ptg000054l,489597,8592421,1,36.943
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,0
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,8.509
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,9.085
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,9.703
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,10.32
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,43.497
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,44.04
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,44.657
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,45.271
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,46.528
Ctg016,Ctg016,ptg000012l,ptg000012l,2096835,2096835,3,47.142
Ctg003,Ctg016,ptg000022l,ptg000012l,2096835,8873824,3,47.759
Ctg015,Ctg020,ptg000041l,ptg000107l,496583,2263744,4,0
Ctg006,Ctg031,ptg000038l,ptg000087l,141534,6933954,5,0
