b	switch	start	end	contig
1	NA	15054	81328	Ctg001
51	0	81760	160238	Ctg001
101	0	160595	216834	Ctg001
151	0	217484	276940	Ctg001
201	0	277163	338664	Ctg001
251	0	339859	520657	Ctg001
301	0	520783	548941	Ctg001
351	0	549036	558372	Ctg001
401	1	559539	597376	Ctg001
451	1	598002	630576	Ctg001
501	0	631062	678249	Ctg001
551	0	678420	703538	Ctg001
601	0	703625	710260	Ctg001
651	0	710422	716475	Ctg001
701	0	717003	723044	Ctg001
751	0	723155	730300	Ctg001
801	0	730437	735451	Ctg001
851	0	736224	744689	Ctg001
901	0	744824	749268	Ctg001
951	0	749311	756675	Ctg001
1001	0	756750	763116	Ctg001
1051	0	763413	769793	Ctg001
1101	0	770031	785996	Ctg001
1151	0	786086	795254	Ctg001
1201	0	795335	801027	Ctg001
1251	0	801073	809473	Ctg001
1301	0	811352	818258	Ctg001
1351	0	818315	824321	Ctg001
1401	0	824806	831274	Ctg001
1451	0	831330	837918	Ctg001
1501	0	841022	862805	Ctg001
1551	0	862867	872308	Ctg001
1601	0	872514	886685	Ctg001
1651	0	886700	891831	Ctg001
1701	0	891852	896641	Ctg001
1751	0	897003	900221	Ctg001
1801	0	900273	914845	Ctg001
1851	0	914936	923192	Ctg001
1901	0	923249	933154	Ctg001
1951	0	933450	945300	Ctg001
2001	0	945399	952512	Ctg001
2051	0	952533	957817	Ctg001
2101	0	957861	961644	Ctg001
2151	0	961890	971388	Ctg001
2201	0	971431	981500	Ctg001
2251	0	981544	989562	Ctg001
2301	0	989618	997393	Ctg001
2351	0	997483	1005207	Ctg001
2401	0	1005296	1014084	Ctg001
2451	0	1014232	1021370	Ctg001
2501	0	1021404	1032583	Ctg001
2551	0	1032658	1038059	Ctg001
2601	0	1038147	1047886	Ctg001
2651	0	1048303	1061375	Ctg001
2701	0	1061405	1069686	Ctg001
2751	0	1069707	1076363	Ctg001
2801	0	1076388	1083510	Ctg001
2851	0	1083549	1090068	Ctg001
2901	0	1090144	1100925	Ctg001
2951	0	1100950	1115467	Ctg001
3001	0	1116831	1123414	Ctg001
3051	0	1123506	1129041	Ctg001
3101	0	1129077	1137906	Ctg001
3151	0	1138129	1149210	Ctg001
3201	0	1149710	1155936	Ctg001
3251	0	1155965	1164475	Ctg001
3301	0	1164675	1171505	Ctg001
3351	0	1171520	1183376	Ctg001
3401	0	1183399	1190708	Ctg001
3451	0	1190750	1204380	Ctg001
3501	0	1204666	1214962	Ctg001
3551	0	1215272	1267203	Ctg001
3601	0	1273353	1300258	Ctg001
3651	0	1300340	1321701	Ctg001
3701	0	1321718	1364552	Ctg001
3751	0	1364712	1417474	Ctg001
3801	0	1419660	1426872	Ctg001
3851	0	1426900	1435407	Ctg001
3901	0	1435422	1442276	Ctg001
3951	1	1442294	1451077	Ctg001
4001	7	1451334	1466341	Ctg001
4051	0	1466412	1474587	Ctg001
4101	0	1474773	1515884	Ctg001
4151	0	1516160	1531994	Ctg001
4201	0	1533165	1628659	Ctg001
4251	0	1628820	1655696	Ctg001
4301	0	1655887	1789539	Ctg001
4351	0	1789630	1802013	Ctg001
4401	0	1804260	2057096	Ctg001
4451	0	2057144	2115684	Ctg001
4501	0	2116041	2127211	Ctg001
4551	0	2128703	2142040	Ctg001
4601	0	2142060	2151603	Ctg001
4651	0	2151628	2158219	Ctg001
4701	0	2158501	2170356	Ctg001
4751	0	2170390	2185769	Ctg001
4801	0	2185807	2201678	Ctg001
4851	0	2201715	2211292	Ctg001
4901	0	2211449	2222267	Ctg001
4951	0	2222348	2230895	Ctg001
5001	0	2231552	2239411	Ctg001
5051	0	2239512	2247677	Ctg001
5101	0	2247697	2270313	Ctg001
5151	0	2270502	2279155	Ctg001
5201	0	2279738	2289610	Ctg001
5251	0	2289634	2295538	Ctg001
5301	0	2295563	2305116	Ctg001
5351	0	2305230	2310047	Ctg001
5401	0	2310120	2317194	Ctg001
5451	0	2317369	2323593	Ctg001
5501	0	2323700	2335612	Ctg001
5551	2	2335708	2345715	Ctg001
5601	0	2345870	2357013	Ctg001
5651	0	2357378	2364795	Ctg001
5701	0	2365119	2370783	Ctg001
5751	0	2370803	2378297	Ctg001
5801	0	2378354	2385835	Ctg001
5851	0	2385983	2407317	Ctg001
5901	0	2407452	2412797	Ctg001
5951	0	2412852	2420614	Ctg001
6001	0	2420753	2430058	Ctg001
6051	0	2430773	2440511	Ctg001
6101	0	2441298	2479091	Ctg001
6151	0	2479173	2491707	Ctg001
6201	0	2492273	2502112	Ctg001
6251	0	2502157	2512787	Ctg001
6301	0	2512801	2521271	Ctg001
6351	0	2521295	2528513	Ctg001
6401	0	2529338	2551985	Ctg001
6451	0	2552133	2559666	Ctg001
6501	0	2559911	2570198	Ctg001
6551	0	2570553	2592164	Ctg001
6601	0	2592188	2599163	Ctg001
6651	0	2599206	2607032	Ctg001
6701	0	2607459	2623066	Ctg001
6751	0	2623368	2644238	Ctg001
6801	0	2644290	2659808	Ctg001
6851	0	2661790	2668835	Ctg001
6901	0	2668910	2675128	Ctg001
6951	0	2676010	2689017	Ctg001
7001	0	2689043	2696156	Ctg001
7051	0	2696220	2709442	Ctg001
7101	0	2709644	2733605	Ctg001
7151	0	2734354	2767272	Ctg001
7201	0	2767324	2774257	Ctg001
7251	0	2774554	2791569	Ctg001
7301	0	2791663	2803900	Ctg001
7351	0	2804177	2812315	Ctg001
7401	0	2813277	2832031	Ctg001
7451	0	2832054	2842129	Ctg001
7501	0	2842182	2859059	Ctg001
7551	0	2861307	2900968	Ctg001
7601	0	2901014	2907900	Ctg001
7651	0	2907963	2913113	Ctg001
7701	0	2913151	2917692	Ctg001
7751	0	2917733	2938529	Ctg001
7801	0	2940019	2955436	Ctg001
7851	0	2955517	2973162	Ctg001
7901	0	2973182	2990601	Ctg001
7951	0	2990829	2997785	Ctg001
8001	0	2997847	3015764	Ctg001
8051	0	3016481	3046385	Ctg001
8101	0	3046456	3071273	Ctg001
8151	0	3071561	3079517	Ctg001
8201	0	3079590	3154100	Ctg001
8251	0	3154315	3164438	Ctg001
8301	0	3164467	3171611	Ctg001
8351	0	3171789	3179170	Ctg001
8401	0	3179182	3182913	Ctg001
8451	0	3183110	3257387	Ctg001
8501	18	3258039	3299498	Ctg001
8551	0	3299610	3312459	Ctg001
8601	0	3312604	3322084	Ctg001
8651	0	3322122	3333326	Ctg001
8701	0	3333436	3346917	Ctg001
8751	0	3346944	3365360	Ctg001
8801	0	3367196	3388375	Ctg001
8851	0	3388651	3417260	Ctg001
8901	0	3417452	3448816	Ctg001
8951	0	3448864	3454868	Ctg001
9001	0	3455204	3462076	Ctg001
9051	0	3462210	3476570	Ctg001
9101	0	3478396	3485342	Ctg001
9151	0	3485631	3497418	Ctg001
9201	0	3497609	3510376	Ctg001
9251	0	3510477	3534949	Ctg001
9301	0	3534974	3541795	Ctg001
9351	0	3541909	3549932	Ctg001
9401	0	3549992	3558150	Ctg001
9451	0	3558275	3564388	Ctg001
9501	0	3564454	3573045	Ctg001
9551	0	3573263	3583828	Ctg001
9601	0	3583930	3590795	Ctg001
9651	0	3590831	3623156	Ctg001
9701	0	3623202	3631896	Ctg001
9751	0	3631934	3642952	Ctg001
9801	0	3643216	3648218	Ctg001
9851	0	3648280	3659960	Ctg001
9901	0	3659977	3667969	Ctg001
9951	0	3667993	3677767	Ctg001
10001	0	3677818	3791719	Ctg001
10051	0	3791896	3805679	Ctg001
10101	0	3805761	3815132	Ctg001
10151	0	3815389	3822543	Ctg001
10201	0	3822718	3829925	Ctg001
10251	0	3829949	3858342	Ctg001
10301	0	3858377	3910004	Ctg001
10351	0	3910093	3928878	Ctg001
10401	0	3928891	3952774	Ctg001
10451	0	3952901	3960626	Ctg001
10501	0	3960646	3965530	Ctg001
10551	0	3965596	3973064	Ctg001
10601	0	3973149	3983283	Ctg001
10651	0	3983575	3992624	Ctg001
10701	0	3992679	4006559	Ctg001
10751	0	4006619	4023742	Ctg001
10801	0	4023844	4050338	Ctg001
10851	0	4050674	4058496	Ctg001
10901	0	4058556	4064938	Ctg001
10951	0	4065006	4090976	Ctg001
11001	0	4091039	4100970	Ctg001
11051	0	4101754	4115056	Ctg001
11101	0	4115068	4122768	Ctg001
11151	0	4122822	4135779	Ctg001
11201	0	4135892	4155507	Ctg001
11251	0	4155629	4162207	Ctg001
11301	0	4162238	4167688	Ctg001
